Ciudad;Lugar;Cliente;Vendedor;Territorio;Socio;Ventas;Cantidad;Producto;Fecha;Precio_Unitario;Nivel_Venta
Loreto;Peru;MOLINOS & CIA S.A.;Marco;Sur;Ringo;161296;23;Electrodomesticos;28/08/2015;7012,869565;Media
Loreto;Peru;Seguros Internos SAC;Victor;Norte;John;137877;22;Juguetes;31/08/2015;6267,136364;Media
Loreto;Peru;IFH Peru LTD;Maria;Norte;Ringo;71518;39;Electrodomesticos;14/08/2015;1833,794872;Bajo
Loreto;Peru;IFH Peru LTD;Maria;Norte;Ringo;106536;15;Electrodomesticos;14/08/2015;7102,4;Media
Loreto;Peru;SIERRA MACHINES S.A.C.;Marco;Sur;Ringo;120304;29;Accesorios;31/08/2015;4148,413793;Media
Loreto;Peru;IFH Peru LTD;Maria;Norte;Ringo;105978;22;Electrodomesticos;14/08/2015;4817,181818;Media
Loreto;Peru;IFH Peru LTD;Edwin;Norte;Ringo;216366;29;Electrodomesticos;14/08/2015;7460,896552;Alta
Loreto;Peru;Periodicos Nuevos;Nora;Sur;John;124995;32;Viajes;28/08/2015;3906,09375;Media
Loreto;Peru;IFH Peru LTD;Maria;Norte;Ringo;217511;28;Accesorios;14/08/2015;7768,25;Alta
Arequipa;Peru;Supermercados Peruanos S.A.;Victor;Norte;John;96052;42;Juguetes;31/08/2015;2286,952381;Bajo
Arequipa;Peru;Norsemont Peru, S.A.C.;Marco;Sur;John;190081;21;Electrodomesticos;20/08/2015;9051,47619;Media
Arequipa;Peru;IFH Peru LTD;Edwin;Norte;Ringo;116835;32;Juguetes;14/08/2015;3651,09375;Media
Arequipa;Peru;Seguros Internos SAC;Victor;Norte;John;102237;21;Accesorios;31/08/2015;4868,428571;Media
Arequipa;Peru;Seguros Internos SAC;Victor;Norte;John;143392;39;Juguetes;31/08/2015;3676,717949;Media
Arequipa;Peru;IFH Peru LTD;Victor;Norte;Ringo;126641;19;Accesorios;14/08/2015;6665,315789;Media
Arequipa;Peru;IFH Peru LTD;Maria;Norte;Ringo;195820;34;Juguetes;14/08/2015;5759,411765;Media
Arequipa;Peru;IFH Peru LTD;Edwin;Norte;Ringo;110491;31;Accesorios;14/08/2015;3564,225806;Media
Arequipa;Peru;HIDROSTAL S.A.;Nadia;Sur;George;68830;22;Accesorios;19/08/2015;3128,636364;Bajo
Arequipa;Peru;Supermercados Peruanos S.A.;Victor;Norte;John;149151;16;Accesorios;31/08/2015;9321,9375;Media
Arequipa;Peru;RIMAC Corp;Victor;Norte;Ringo;108513;24;Viajes;24/08/2015;4521,375;Media
Arequipa;Peru;IFH Peru LTD;Maria;Norte;Ringo;181185;18;Juguetes;14/08/2015;10065,83333;Media
Arequipa;Peru;Seguros Internos SAC;Victor;Norte;John;51754;20;Accesorios;31/08/2015;2587,7;Bajo
Arequipa;Peru;AUSTRAL Inc;Rosa;Sur;Ringo;111529;29;Electrodomesticos;19/08/2015;3845,827586;Media
Arequipa;Peru;LUCKY S.A.C.;Rosa;Sur;Ringo;194179;32;Accesorios;24/08/2015;6068,09375;Media
Arequipa;Peru;IFH Peru LTD;Edwin;Norte;Ringo;164188;42;Electrodomesticos;14/08/2015;3909,238095;Media
Arequipa;Peru;Seguros Internos SAC;Edwin;Norte;John;121544;16;Juguetes;26/08/2015;7596,5;Media
Arequipa;Peru;Seguros Internos SAC;Victor;Norte;John;132595;16;Accesorios;31/08/2015;8287,1875;Media
Arequipa;Peru;HUDBAY PERU S.A.C.;Rosa;Sur;Ringo;170365;17;Electrodomesticos;20/08/2015;10021,47059;Media
Arequipa;Peru;Radios Unidos por el pais;Rosa;Sur;John;113234;25;Electrodomesticos;13/08/2015;4529,36;Media
Arequipa;Peru;IFH Peru LTD;Maria;Norte;Ringo;226741;26;Juguetes;14/08/2015;8720,807692;Alta
Arequipa;Peru;COMPARTAMOS FINANCIERA S.A.;Nora;Sur;John;206321;21;Electrodomesticos;12/08/2015;9824,809524;Alta
Arequipa;Peru;IFH Peru LTD;Edwin;Norte;Ringo;69721;28;Electrodomesticos;14/08/2015;2490,035714;Bajo
Arequipa;Peru;Minera de Cobre Supremo;Victor;Norte;Paul;76974;17;Calzado;31/08/2015;4527,882353;Bajo
Arequipa;Peru;HIDROSTAL S.A.;Nadia;Sur;George;174407;22;Accesorios;19/08/2015;7927,590909;Media
Arequipa;Peru;Seguros Internos SAC;Victor;Norte;John;149823;40;Accesorios;31/08/2015;3745,575;Media
Arequipa;Peru;IFH Peru LTD;Victor;Norte;John;68074;18;Electrodomesticos;17/08/2015;3781,888889;Bajo
Cusco;Peru;Minera Norteña;Rosa;Sur;Ringo;204873;39;Viajes;28/08/2015;5253,153846;Alta
Cusco;Peru;IFH Peru LTD;Edwin;Norte;Ringo;135721;34;Calzado;14/08/2015;3991,794118;Media
Cusco;Peru;Seguros Internos SAC;Victor;Norte;John;239233;20;Calzado;31/08/2015;11961,65;Alta
Cusco;Peru;Seguros Internos SAC;Victor;Norte;John;203792;26;Juguetes;31/08/2015;7838,153846;Alta
Cusco;Peru;Tiendas Wang;Rosa;Sur;Ringo;72604;31;Juguetes;28/08/2015;2342,064516;Bajo
Cusco;Peru;SIERRA MACHINES S.A.C.;Marco;Sur;Ringo;202638;39;Electrodomesticos;31/08/2015;5195,846154;Alta
Cusco;Peru;Importaciones D A F T;Marco;Sur;Ringo;53364;26;Electrodomesticos;19/08/2015;2052,461538;Bajo
Cusco;Peru;IFH Peru LTD;Victor;Norte;Ringo;242535;21;Viajes;21/08/2015;11549,28571;Alta
Cusco;Peru;Seguros Internos SAC;Victor;Norte;John;242600;20;Accesorios;31/08/2015;12130;Alta
Cusco;Peru;Seguros Internos SAC;Victor;Norte;John;154734;25;Accesorios;31/08/2015;6189,36;Media
Cusco;Peru;Seguros Internos SAC;Victor;Norte;John;234847;31;Electrodomesticos;31/08/2015;7575,709677;Alta
Cusco;Peru;Seguros Internos SAC;Victor;Norte;John;205722;25;Juguetes;31/08/2015;8228,88;Alta
Cusco;Peru;SIERRA MACHINES S.A.C.;Marco;Sur;Ringo;200068;15;Accesorios;31/08/2015;13337,86667;Alta
Cusco;Peru;Tiendas Wang;Rosa;Sur;Ringo;175818;40;Juguetes;28/08/2015;4395,45;Media
Cusco;Peru;MOLINOS & CIA S.A.;Rosa;Sur;Ringo;158704;19;Viajes;28/08/2015;8352,842105;Media
Cajamarca;Peru;IFH Peru LTD;Edwin;Norte;Ringo;104352;38;Accesorios;14/08/2015;2746,105263;Media
Cajamarca;Peru;Periodicos Nuevos;Nadia;Sur;John;130549;28;Electrodomesticos;28/08/2015;4662,464286;Media
Cajamarca;Peru;Tiendas Wang;Rosa;Sur;Ringo;124082;28;Calzado;28/08/2015;4431,5;Media
Cajamarca;Peru;Supermercados Peruanos S.A.;Victor;Norte;John;237385;26;Juguetes;31/08/2015;9130,192308;Alta
Cajamarca;Peru;Electro Este;Edwin;Sur;John;245254;19;Electrodomesticos;24/08/2015;12908,10526;Alta
Cajamarca;Peru;BOTICAS & SALUD S.A.C.;Nadia;Sur;Ringo;231817;41;Electrodomesticos;19/08/2015;5654,073171;Alta
Cajamarca;Peru;IFH Peru LTD;Maria;Norte;Ringo;114877;23;Electrodomesticos;14/08/2015;4994,652174;Media
Piura;Peru;Servicios Generales;Maria;Norte;Ringo;167095;42;Accesorios;31/08/2015;3978,452381;Media
Piura;Peru;Importaciones D A F T;Marco;Sur;Ringo;111841;25;Juguetes;19/08/2015;4473,64;Media
Piura;Peru;Seguros Internos SAC;Victor;Norte;John;103662;18;Accesorios;31/08/2015;5759;Media
Piura;Peru;Seguros Internos SAC;Edwin;Norte;John;202094;38;Accesorios;26/08/2015;5318,263158;Alta
Piura;Peru;BOTICAS & SALUD S.A.C.;Nadia;Sur;Ringo;107557;26;Electrodomesticos;19/08/2015;4136,807692;Media
Piura;Peru;MOLINOS & CIA S.A.;Rosa;Sur;Ringo;139514;28;Viajes;28/08/2015;4982,642857;Media
Piura;Peru;TEXTIL DEL VALLE S.A.;Nora;Sur;Ringo;123929;37;Viajes;31/08/2015;3349,432432;Media
Piura;Peru;Radios Unidos por el pais;Maria;Norte;Ringo;142783;23;Viajes;21/08/2015;6207,956522;Media
Piura;Peru;IFH Peru LTD;Edwin;Norte;Ringo;169909;16;Accesorios;14/08/2015;10619,3125;Media
Lima;Peru;Gloria;Jose;Sur;Ringo;83240;15;Electrodomesticos;01/12/2015;5549,333333;Bajo
Lima;Peru;Tractores Unidos;Victor;Norte;Ringo;129703;24;Calzado;31/12/2015;5404,291667;Media
Trujillo;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;168289;28;Accesorios;01/12/2015;6010,321429;Media
Trujillo;Peru;Supermercados Peruanos S.A.;Victor;Norte;Ringo;80286;29;Viajes;31/12/2015;2768,482759;Bajo
Trujillo;Peru;Automotores Distribuidos;Nora;Sur;Ringo;172701;21;Electrodomesticos;15/12/2015;8223,857143;Media
Huancayo;Peru;Maquillajes Unidos;Victor;Norte;Ringo;190132;28;Juguetes;15/12/2015;6790,428571;Media
Huancayo;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;241320;33;Juguetes;01/12/2015;7312,727273;Alta
Huancayo;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;135809;18;Accesorios;01/12/2015;7544,944444;Media
Huancayo;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;172082;30;Juguetes;01/12/2015;5736,066667;Media
Huancayo;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;151283;29;Accesorios;01/12/2015;5216,655172;Media
Huancayo;Peru;Compañia Minera Poderosa, S.A.;Jose;Sur;Ringo;219157;15;Accesorios;01/12/2015;14610,46667;Alta
Loreto;Peru;CLINICA INTERNACIONAL S.A.;Victor;Norte;John;62548;24;Accesorios;25/12/2015;2606,166667;Bajo
Loreto;Peru;Gloria;Jose;Sur;Ringo;134349;21;Electrodomesticos;01/12/2015;6397,571429;Media
Loreto;Peru;Gloria;Jose;Sur;Ringo;110899;25;Electrodomesticos;01/12/2015;4435,96;Media
Loreto;Peru;FORZA S.A.;Jose;Sur;Ringo;226877;23;Viajes;15/12/2015;9864,217391;Alta
Loreto;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;210657;36;Accesorios;01/12/2015;5851,583333;Alta
Loreto;Peru;Servicios Generales;Victor;Norte;Ringo;60791;15;Calzado;31/12/2015;4052,733333;Bajo
Loreto;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;175961;19;Accesorios;01/12/2015;9261,105263;Media
Loreto;Peru;CLINICA INTERNACIONAL S.A.;Victor;Norte;John;126313;36;Calzado;25/12/2015;3508,694444;Media
Loreto;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;128603;30;Juguetes;01/12/2015;4286,766667;Media
Loreto;Peru;Radios Unidos por el pais;Victor;Norte;Ringo;179961;15;Calzado;30/12/2015;11997,4;Media
Loreto;Peru;Periodicos Nuevos;Jose;Sur;John;191978;41;Calzado;31/12/2015;4682,390244;Media
Loreto;Peru;JJC Contratistas;Nora;Sur;Ringo;205687;41;Calzado;29/12/2015;5016,756098;Alta
Loreto;Peru;ALS PERU;Marco;Sur;Ringo;205729;28;Calzado;23/12/2015;7347,464286;Alta
Loreto;Peru;TELCO Internacional;Victor;Norte;Ringo;245880;30;Electrodomesticos;30/12/2015;8196;Alta
Loreto;Peru;Gloria;Jose;Sur;Ringo;127962;23;Electrodomesticos;01/12/2015;5563,565217;Media
Loreto;Peru;TELCO Internacional;Victor;Norte;Ringo;167037;20;Electrodomesticos;30/12/2015;8351,85;Media
Loreto;Peru;Estudio de abogados ZZT;Rosa;Sur;John;184766;31;Juguetes;31/12/2015;5960,193548;Media
Loreto;Peru;Estudio de abogados ZZT;Rosa;Sur;John;162092;37;Accesorios;31/12/2015;4380,864865;Media
Loreto;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;234372;28;Accesorios;01/12/2015;8370,428571;Alta
Arequipa;Peru;Automotores Distribuidos;Nora;Sur;Ringo;67864;41;Electrodomesticos;15/12/2015;1655,219512;Bajo
Arequipa;Peru;Compañia Minera Poderosa, S.A.;Jose;Sur;Ringo;152749;25;Calzado;01/12/2015;6109,96;Media
Arequipa;Peru;Gloria;Jose;Sur;Ringo;127024;39;Electrodomesticos;01/12/2015;3257,025641;Media
Arequipa;Peru;Gloria;Jose;Sur;Ringo;122450;31;Electrodomesticos;01/12/2015;3950;Media
Arequipa;Peru;H V CONTRATISTAS S.A.;Rosa;Sur;John;200134;24;Electrodomesticos;21/12/2015;8338,916667;Alta
Arequipa;Peru;Estudio de abogados ZZT;Rosa;Sur;John;58563;35;Juguetes;31/12/2015;1673,228571;Bajo
Arequipa;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;219350;39;Accesorios;01/12/2015;5624,358974;Alta
Arequipa;Peru;Compañia Minera Poderosa, S.A.;Jose;Sur;Ringo;147048;35;Accesorios;01/12/2015;4201,371429;Media
Arequipa;Peru;CLINICA INTERNACIONAL S.A.;Victor;Norte;John;58680;19;Juguetes;25/12/2015;3088,421053;Bajo
Arequipa;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;52997;42;Electrodomesticos;01/12/2015;1261,833333;Bajo
Arequipa;Peru;Compañia Minera Poderosa, S.A.;Jose;Sur;Ringo;137646;24;Accesorios;01/12/2015;5735,25;Media
Arequipa;Peru;LA ARENA S.A.;Rosa;Sur;Ringo;119235;18;Electrodomesticos;01/12/2015;6624,166667;Media
Arequipa;Peru;JJC Contratistas;Nora;Sur;John;180137;42;Electrodomesticos;21/12/2015;4288,97619;Media
Arequipa;Peru;RIMAC Corp;Victor;Norte;John;151194;28;Accesorios;25/12/2015;5399,785714;Media
Arequipa;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;90433;19;Accesorios;01/12/2015;4759,631579;Bajo
Cusco;Peru;Banco Interno;Maria;Norte;Ringo;130695;28;Viajes;31/12/2015;4667,678571;Media
Cusco;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;59570;32;Accesorios;01/12/2015;1861,5625;Bajo
Cusco;Peru;Servicios Generales;Victor;Norte;Ringo;205191;23;Accesorios;31/12/2015;8921,347826;Alta
Cusco;Peru;CLINICA INTERNACIONAL S.A.;Victor;Norte;John;185827;30;Juguetes;25/12/2015;6194,233333;Media
Cusco;Peru;Estudio de abogados ZZT;Rosa;Sur;John;195136;37;Electrodomesticos;31/12/2015;5273,945946;Media
Cusco;Peru;Gloria;Jose;Sur;Ringo;156943;39;Electrodomesticos;01/12/2015;4024,179487;Media
Cusco;Peru;NEXTEL PERU S.A.;Victor;Norte;Ringo;117907;22;Juguetes;31/12/2015;5359,409091;Media
Cusco;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;75131;20;Accesorios;01/12/2015;3756,55;Bajo
Cusco;Peru;Gloria;Jose;Sur;Ringo;167729;38;Electrodomesticos;01/12/2015;4413,921053;Media
Cusco;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;113856;20;Accesorios;01/12/2015;5692,8;Media
Cusco;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;133544;24;Accesorios;01/12/2015;5564,333333;Media
Cusco;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;135581;17;Accesorios;01/12/2015;7975,352941;Media
Cusco;Peru;TELCO Internacional;Victor;Norte;Ringo;190024;34;Viajes;31/12/2015;5588,941176;Media
Cajamarca;Peru;ALS PERU;Marco;Sur;Ringo;220732;23;Juguetes;23/12/2015;9597,043478;Alta
Cajamarca;Peru;Sociedad de Mineria Nueva;Marco;Sur;John;245623;41;Electrodomesticos;23/12/2015;5990,804878;Alta
Cajamarca;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;204029;16;Juguetes;01/12/2015;12751,8125;Alta
Cajamarca;Peru;Gloria;Jose;Sur;Ringo;148290;38;Electrodomesticos;01/12/2015;3902,368421;Media
Cajamarca;Peru;Gloria;Jose;Sur;Ringo;203682;35;Electrodomesticos;01/12/2015;5819,485714;Alta
Cajamarca;Peru;NEXTEL PERU S.A.;Victor;Norte;Ringo;188033;36;Calzado;31/12/2015;5223,138889;Media
Cajamarca;Peru;Profuturo AFP;Maria;Norte;John;67771;23;Accesorios;31/12/2015;2946,565217;Bajo
Cajamarca;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;135986;33;Accesorios;01/12/2015;4120,787879;Media
Cajamarca;Peru;Gloria;Jose;Sur;Ringo;246000;17;Electrodomesticos;01/12/2015;14470,58824;Alta
Cajamarca;Peru;Eckerd Peru, S.A.;Victor;Norte;Ringo;126670;22;Viajes;31/12/2015;5757,727273;Media
Piura;Peru;LA ARENA S.A.;Rosa;Sur;Ringo;211989;24;Electrodomesticos;01/12/2015;8832,875;Alta
Piura;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;195974;26;Accesorios;01/12/2015;7537,461538;Media
Piura;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;80637;15;Accesorios;01/12/2015;5375,8;Bajo
Piura;Peru;Maquillajes Unidos;Victor;Norte;Ringo;163205;27;Accesorios;15/12/2015;6044,62963;Media
Piura;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;90539;28;Accesorios;01/12/2015;3233,535714;Bajo
Piura;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;56750;36;Electrodomesticos;01/12/2015;1576,388889;Bajo
Piura;Peru;Banco Inca;Victor;Norte;Ringo;111493;22;Viajes;30/12/2015;5067,863636;Media
Piura;Peru;Sociedad de Mineria Nueva;Marco;Sur;John;205025;38;Calzado;23/12/2015;5395,394737;Alta
Piura;Peru;Gloria;Jose;Sur;Ringo;120213;18;Electrodomesticos;01/12/2015;6678,5;Media
Piura;Peru;Maquillajes Unidos;Victor;Norte;Ringo;125045;37;Viajes;31/12/2015;3379,594595;Media
Piura;Peru;Compañia Minera Poderosa, S.A.;Nadia;Sur;Ringo;215830;39;Accesorios;01/12/2015;5534,102564;Alta
Piura;Peru;Maquillajes Unidos;Victor;Norte;Ringo;55065;34;Electrodomesticos;15/12/2015;1619,558824;Bajo
Lima;Peru;RIMAC Corp;Victor;Norte;Ringo;60113;26;Accesorios;29/02/2016;2312,038462;Bajo
Lima;Peru;RIMAC Corp;Victor;Norte;Ringo;141100;16;Calzado;29/02/2016;8818,75;Media
Lima;Peru;Maquillajes Unidos;Victor;Norte;Ringo;73346;30;Calzado;26/02/2016;2444,866667;Bajo
Trujillo;Peru;HAUG S.A.;Edwin;Sur;Ringo;198166;24;Juguetes;01/02/2016;8256,916667;Media
Trujillo;Peru;Universidad La Modernidad;Edwin;Norte;Ringo;82356;20;Viajes;26/02/2016;4117,8;Bajo
Trujillo;Peru;Unique, S.A.;Edwin;Norte;Ringo;156686;37;Viajes;26/02/2016;4234,756757;Media
Trujillo;Peru;Electro Este;Edwin;Norte;Ringo;66316;27;Calzado;29/02/2016;2456,148148;Bajo
Huancayo;Peru;Maquillajes Unidos;Victor;Norte;Ringo;228162;38;Electrodomesticos;18/02/2016;6004,263158;Alta
Huancayo;Peru;Maquillajes Unidos;Victor;Norte;Ringo;123163;18;Electrodomesticos;26/02/2016;6842,388889;Media
Huancayo;Peru;HAUG S.A.;Edwin;Sur;Ringo;109319;36;Juguetes;01/02/2016;3036,638889;Media
Huancayo;Peru;RIMAC Corp;Victor;Norte;Ringo;90697;30;Electrodomesticos;29/02/2016;3023,233333;Bajo
Huancayo;Peru;HAUG S.A.;Edwin;Sur;Ringo;126899;21;Juguetes;01/02/2016;6042,809524;Media
Huancayo;Peru;HAUG S.A.;Edwin;Sur;Ringo;190190;21;Accesorios;01/02/2016;9056,666667;Media
Huancayo;Peru;Sociedad de Mineria Nueva;Nadia;Sur;John;249032;36;Juguetes;29/02/2016;6917,555556;Alta
Loreto;Peru;RIMAC Corp;Victor;Norte;Ringo;128165;31;Calzado;29/02/2016;4134,354839;Media
Loreto;Peru;Nissan Maquinarias, S.A.;Edwin;Sur;Ringo;64326;30;Accesorios;01/02/2016;2144,2;Bajo
Loreto;Peru;RIMAC Corp;Victor;Norte;Ringo;125963;36;Accesorios;29/02/2016;3498,972222;Media
Loreto;Peru;Maquillajes Unidos;Victor;Norte;Ringo;217326;15;Accesorios;18/02/2016;14488,4;Alta
Loreto;Peru;RIMAC Corp;Victor;Norte;Ringo;247619;35;Viajes;29/02/2016;7074,828571;Alta
Loreto;Peru;HAUG S.A.;Edwin;Sur;Ringo;96045;15;Accesorios;01/02/2016;6403;Bajo
Loreto;Peru;HAUG S.A.;Edwin;Sur;Ringo;60605;16;Juguetes;01/02/2016;3787,8125;Bajo
Loreto;Peru;HAUG S.A.;Edwin;Sur;Ringo;247695;24;Calzado;01/02/2016;10320,625;Alta
Arequipa;Peru;HAUG S.A.;Edwin;Sur;Ringo;213165;39;Accesorios;01/02/2016;5465,769231;Alta
Arequipa;Peru;HAUG S.A.;Edwin;Sur;Ringo;175282;36;Accesorios;01/02/2016;4868,944444;Media
Arequipa;Peru;Almacenes Santa Clara, S.A.;Edwin;Sur;Ringo;207526;29;Electrodomesticos;01/02/2016;7156,068966;Alta
Arequipa;Peru;Almacenes Santa Clara, S.A.;Edwin;Sur;Ringo;57043;18;Accesorios;01/02/2016;3169,055556;Bajo
Arequipa;Peru;Pacifico Peruano Suiza;Maria;Norte;Ringo;143396;34;Electrodomesticos;29/02/2016;4217,529412;Media
Cusco;Peru;Almacenes Santa Clara, S.A.;Edwin;Sur;Ringo;236237;20;Accesorios;01/02/2016;11811,85;Alta
Cusco;Peru;Maquillajes Unidos;Victor;Norte;Ringo;166285;29;Accesorios;26/02/2016;5733,965517;Media
Cusco;Peru;Nissan Maquinarias, S.A.;Edwin;Sur;Ringo;235433;33;Accesorios;01/02/2016;7134,333333;Alta
Cusco;Peru;Seguros Internos SAC;Edwin;Norte;Ringo;244064;25;Viajes;26/02/2016;9762,56;Alta
Cajamarca;Peru;Ajies Rellenos Inc.;Edwin;Norte;Ringo;53014;15;Calzado;29/02/2016;3534,266667;Bajo
Cajamarca;Peru;Nissan Maquinarias, S.A.;Edwin;Sur;Ringo;187059;28;Accesorios;01/02/2016;6680,678571;Media
Piura;Peru;Almacenes Santa Clara, S.A.;Edwin;Sur;Ringo;206167;40;Accesorios;01/02/2016;5154,175;Alta
Piura;Peru;Pacifico Peruano Suiza;Maria;Norte;Ringo;248081;19;Juguetes;29/02/2016;13056,89474;Alta
Piura;Peru;Maquillajes Unidos;Victor;Norte;Ringo;244877;22;Calzado;26/02/2016;11130,77273;Alta
Piura;Peru;RIMAC Corp;Victor;Norte;Ringo;99115;18;Electrodomesticos;29/02/2016;5506,388889;Bajo
Piura;Peru;HAUG S.A.;Edwin;Sur;Ringo;80316;21;Electrodomesticos;01/02/2016;3824,571429;Bajo
Piura;Peru;Nissan Maquinarias, S.A.;Edwin;Sur;Ringo;88338;16;Electrodomesticos;01/02/2016;5521,125;Bajo
Lima;Peru;Asociacion de Fondos de Pensiones;Nadia;Sur;Paul;240940;37;Accesorios;01/01/2016;6511,891892;Alta
Lima;Peru;Synapsis del Peru;Rosa;Sur;Paul;101844;39;Juguetes;01/01/2016;2611,384615;Media
Lima;Peru;Seguridad Integral Corp;Rosa;Sur;Ringo;129301;38;Juguetes;01/01/2016;3402,657895;Media
Lima;Peru;MAESTRO PERU S.A.;Victor;Norte;Ringo;118525;41;Viajes;01/01/2016;2890,853659;Media
Trujillo;Peru;Buenaventura Ingenieros, S.A.;Victor;Norte;Ringo;124304;26;Accesorios;01/01/2016;4780,923077;Media
Trujillo;Peru;Radios Unidos por el pais;Edwin;Sur;George;59089;32;Calzado;14/01/2016;1846,53125;Bajo
Trujillo;Peru;Asociacion de Fondos de Pensiones;Nadia;Sur;Paul;170555;26;Accesorios;01/01/2016;6559,807692;Media
Trujillo;Peru;Seguridad Integral Corp;Rosa;Sur;Ringo;58257;24;Accesorios;01/01/2016;2427,375;Bajo
